top - 04:41:24 up 1 day, 15:21,  0 users,  load average: 0.29, 0.10, 0.03
Tasks:  80 total,   1 running,  79 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.7 us,  6.7 sy,  0.0 ni, 86.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   1455.2 total,    214.8 free,    565.6 used,    674.8 buff/cache
MiB Swap:    975.0 total,    974.0 free,      1.0 used.    737.6 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 4663 root      20   0  870672  84120  31568 S   6.7   5.6   0:01.73 node
    1 root      20   0  105056  10204   7684 S   0.0   0.7   0:01.97 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0.0   0.0   0:04.21 ksoftirqd+
   10 root      20   0       0      0      0 I   0.0   0.0   0:08.05 rcu_sched
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration+
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   16 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   18 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungtaskd
   19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   22 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   23 root      39  19       0      0      0 S   0.0   0.0   0:00.26 khugepaged
   24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrit+
   26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poll+
   28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   29 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   30 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kswapd0
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addr+
   59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
   96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   97 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
   98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
   99 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
  100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
  103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
  105 root       0 -20       0      0      0 I   0.0   0.0   0:01.17 kworker/0+
  143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  145 root      20   0       0      0      0 S   0.0   0.0   0:02.19 jbd2/sda1+
  146 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  178 root      20   0   33404   8328   7240 S   0.0   0.6   0:00.32 systemd-j+
  202 root      20   0   22792   5648   3872 S   0.0   0.4   0:00.62 systemd-u+
  208 systemd+  20   0   93084   6360   5508 S   0.0   0.4   0:00.19 systemd-t+
  245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
  282 root      20   0  225824   3596   2900 S   0.0   0.2   0:00.02 rsyslogd
